gene,cluster_id,max_level_survived,mean_log2fc,direction
BCL2,0,4,-0.8553800823402623,down
CST6,0,4,-0.6703359504468823,down
GATA3,0,4,-0.7680825947325052,down
S100A1,0,4,-0.8049500538634631,down
S100A4,0,4,-0.3878169072958926,down
CAMP,1,4,0.18875676419878276,up
KLK5,1,4,0.6112303483138942,up
TNF,1,4,0.37268926446817985,up
IL1B,3,4,1.5194582562119676,up
IL36A,3,4,1.7610736871830626,up
IL36RN,3,4,2.188016111672794,up
IVL,3,4,1.552034298079361,up
KRT6A,3,4,1.3808984416677244,up
S100A7,3,4,1.6012656786257589,up
SPRR1B,3,4,1.4250669680368921,up
TGM3,3,4,2.1334979145537516,up
CCL20,4,4,3.767165840041837,up
CXCL1,4,4,3.7315816317666064,up
CXCL8,4,4,4.032964555257986,up
DEFB4B,4,4,4.01898941764389,up
IL36G,4,4,4.193194197039804,up
S100A12,4,4,6.392006507638184,up
S100A9,4,4,4.292045691303244,up
SERPINB3,4,4,4.19742659394016,up
SERPINB4,4,4,5.115658490634507,up
IL19,5,4,2.6267092905996448,up
KRT16,5,4,2.616949475548301,up
KYNU,5,4,3.0204793206135894,up
LCE3D,5,4,2.775279722347236,up
LTF,5,4,2.985050475437373,up
PI3,5,4,3.3778075859691925,up
S100A7A,5,4,3.0049574274530935,up
TGM1,5,4,3.2526996992583674,up
ARG1,6,4,1.1031014626964992,up
CASP5,6,4,1.0948457861308316,up
FABP5,6,4,1.1459327180210441,up
IFIH1,6,4,0.994637564385777,up
IL12B,6,4,1.1813901720017748,up
CARD14,7,4,0.8596554720936859,up
FBXL19,7,4,0.6406302948466022,up
IL20,7,4,0.6871173996577078,up
IL24,7,4,0.8076491599898584,up
KLK7,7,4,0.6183585130578103,up
KRT17,7,4,0.8038530706611303,up
REL,7,4,0.7099107182745951,up
S100A2,7,4,0.8542358895474145,up
SLPI,7,4,0.8485725946374261,up
IFNG,8,4,0.22943017653397577,up
STAT3,8,4,0.28842895423428067,up
TRAF3IP2,8,4,0.3600075244833927,up
